neo4jId,label
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:101,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:99,2751
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:96,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:134,3951
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:135,7253
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:133,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:132,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:131,4576
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:130,4981
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:129,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:128,2257
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:126,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:125,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:124,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:123,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:122,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:121,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:120,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:154,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:155,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:153,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:152,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:151,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:150,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:149,4021
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:148,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:147,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:146,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:145,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:144,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:143,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:142,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:141,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:140,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:139,593
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:137,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:136,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:156,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:176,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:177,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:175,943
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:174,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:173,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:172,3421
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:171,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:170,4131
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:169,-1
4:68504eee-ce09-43ce-af9d-ef2cb95858cc:168,-1
